№;a;b;c;d;e
1;2;4;3;5;1
2;2;4;3;5;1
3;2;4;3;5;1
4;2;4;3;5;1
5;2;4;3;5;1
6;2;4;3;5;1
7;2;4;3;5;1
8;2;4;3;5;1
9;2;4;3;5;1
10;2;4;3;5;1
11;2;4;3;5;1
12;2;4;3;5;1
13;2;4;3;5;1
14;2;4;3;5;1
15;1;3;5;2;4
16;1;3;5;2;4
17;1;3;5;2;4
18;1;3;5;2;4
19;1;3;5;2;4
20;1;3;5;2;4
21;1;3;5;2;4
22;1;3;5;2;4
23;1;3;5;2;4
24;3;1;2;4;5
25;3;1;2;4;5
26;3;1;2;4;5
27;3;1;2;4;5
28;3;1;2;4;5
29;3;1;2;4;5
30;5;4;3;1;2
31;5;4;3;1;2
32;5;4;3;1;2
33;5;4;3;1;2
34;5;4;3;1;2
35;5;4;3;1;2
36;5;1;2;3;4
37;5;1;2;3;4
38;5;1;2;3;4
39;5;1;2;3;4
40;5;1;2;3;4
41;5;3;1;2;4
42;5;3;1;2;4
43;3;4;2;5;1
44;3;4;2;5;1
45;3;5;4;2;1
